           CODIGOS PARA VALIDACION DE PRACTICAS DE SWISS MEDICAL,
,
CIRUGIA GENERAL,
,
"CON EL OBJETIVO DE PROCEDER A LA CORRECTA VALIDACION DE LAS PRACTICAS QUIRURGICAS,  ACERCAMOS A UDS.  LOS CODIGOS CON LOS QUE DEBERAN VALIDAR CADA UNA DE ELLAS.",
,
"AQUELLAS PRACTICAS QUE FIGURAN "" SIN CODIGO "" SOLO PODRAN VALIDARSE SI DISPONEN DE LA  AUTORIZACION  PREVIA DE LA MISMA, ASIGNANDO EL CODIGO DE AUTORIZACION CORREPONDIENTE",
,
"PARA EFECTUAR LA VALIDACION ON LINE DE LAS PRACTICAS DE SWISS MEDICAL , DEBERA ELEGIR AQUELLA CON LA FINALIZACION                    "" - SMG """,
,
40101,Tiroidectomia total con vaciamiento ganglionar radical unilateral.   - SMG
40102,Tiroidectomia total con vaciamiento ganglionar radical bilateral.  - SMG
40103,Tiroidectomia total.  - SMG
40104,Tiroidectomia sub-total-hemitiroidectomia.   - SMG
40105,Extirpacion de quiste tirogloso.  - SMG
40106,Puncion biopsia de tiroides.  - SMG
40107,Incision y drenaje de quiste tirogloso infectado.  - SMG
40108,Paratiroidectomia.  - SMG
40201,Adrenalectomia bilateral.   - SMG
40202,Adrenalectomia unilateral.  - SMG
50101,"Reseccion de pleura parietal, costillas, musculos intercostales. -como unica ope  - SMG"
50102,Operacion plastica por torax en carina o excavado.  - SMG
50103,Toracoplastia -por cada tiempo operatorio-.  - SMG
50201,Traqueoplastia.  - SMG
50202,Traqueostomia. traqueotomia -como unica intervencion-.  - SMG
50203,Traqueorrafia por acceso cervical -sutura de traquea - cierre de traqueostomia o  - SMG
50301,Traqueoplastia por acceso toracico. broncoplastia.  - SMG
50302,Broncotomia. broncorrafia -herida-traumatismo-.  - SMG
50303,Cavernostomia.  - SMG
50304,Cierre de fistula bronco cutanea.  - SMG
50401,"Neumonectomia, lobectomia, segmentectomia. pleuroneumonectomia. decorticacion de  - SMG"
50402,"Escision local de lesion pulmonar, cuerpo extraño, quistectomia o lesiones de en  - SMG"
50403,"Operaciones en el mediastino -via toracica o transesternal- tumores abscesos, dr   - SMG"
50404,Neumomediastino.  - SMG
50405,Mediastinoscopia.  - SMG
50406,"Toracotomia amplia exploradora. biopsia de pulmon, pleura o mediastino.  - SMG"
50407,"Drenaje de pleura con trocard, por toracotomia minima.  - SMG"
50408,"Puncion de cavidad pleural para lavaje, para instilacion de sustancias terapeuti  - SMG"
50409,"Puncion biopsia de pleura o pulmon con agujas especiales -vim-sylverman, coper o  - SMG"
50410,Biopsia de grasa pre-escalenica. -biopsia de daniels-.   - SMG
60104,Mastectomia subcutanea -adenomastectomia-.   - SMG
60107,Mamiloplastia en uno o dos tiempos.   - SMG
60108,"Escision local de lesion de mama -quiste, fibroadenoma o tejido mamario aberrant   - SMG"
60109,Escision de cuadrante mamario -biopsia sectorial o cuadrantectomia-.   - SMG
60110,Drenaje de absceso mamario.   - SMG
60111,Puncion quiste mamario. puncion biopsia de mama.  - SMG
70401,Tratamiento quirurgico del aneurisma de la aorta abdominal.  - SMG
70402,Cirugia de las ramas viscerales de la aorta abdominal y troncos iliacos: anastom  - SMG
70403,Derivacion aorto o iliaco-femoral unilateral -con o sin simpatectomia-.   - SMG
70404,Derivacion aorto bifemoral -con o sin simpatectomia-.   - SMG
70405,"Derivacion aorto iliaco, uni o bilateral -con o sin simpaticectomia-   - SMG"
70406,Otras derivaciones arteriales en cavidad abdominal.   - SMG
70407,Anastomosis porto-cava o espleno-renal o mesenterica-cava.   - SMG
70408,"Cirugia de la vena cava: ligadura, cerclaje; clips sutura; trombectomia.   - SMG"
70409,Colocacion de filtro -mobin-uddin o similar- en vena cava por via endovenosa.  -  SMG
70501,Cirugia de la arteria carotida o de la vertebral: tromboendarterectomia; embolec   - SMG
70502,"Sutura o ligadura de los vasos profundos del cuello -carotidas, vertebral, yugul   - SMG"
70503,Glomectomia - tumor de glomus carotideo.   - SMG
70601,Embolectomia en arterias perifericas.   - SMG
70602,Tromboendarterectomia de vasos perifericos con o sin arterioplastia -incluye eve   - SMG
70603,Derivacion -by-pass- de vasos perifericos con injerto venoso -incluye toma del i  - SMG
70604,Derivacion -by-pass- de vasos perifericos con injerto sintetico.   -SMG
70605,Tratamiento del aneurisma o de las fistulas arterio-venosas.   - SMG
70606,Anastomosis arterial. arteriorrafia.  - SMG
70607,Shunt o fistula arteriovenosa periferica para hemodialisis.   - SMG
70608,Diseccion de arterias para perfusion regional. exploracion quirurgica de arteria  - SMG
70609,Puncion arterial para inyeccion medicamentosa.   - SMG
70610,Ligadura unilateral de troncos venosos profundos -como unico tratamiento-.   - SMG
70611,Trombectomia venosa profunda.   - SMG
70612,Safenectomia interna y/o externa de miembro inferior con ligadura y/o reseccione   - SMG
70613,Safenectomia interna y/o externa de miembro inferior con ligaduras y/o reseccion (bilkatera)   - SMG
70614,"Operacion de linton, gockett o similares -ligaduras subaponeuroticas de las comu   - SMG"
70615,Flebotomia con colocacion de cateter. diseccion de venas para perfusion -canaliz   - SMG
70616,Flebectomia segmentaria por varices residuales.   - SMG
80101,Esofaguectomia total y reconstruccion en un tiempo.   -SMG
80102,"Esofaguectomia segmentaria y reconstruccion en un tiempo -esofagogastrostomia, e   -SMG"
80103,Esofaguectomia total -como unico tratamiento o primer tiempo- incluye las ostomi   - SMG
80104,Reemplazo de esofago.   - SMG
80105,Esofagogastroplastia -esofagocardioplastia - esofagosplatia - heller-.   -SMG
80106,Operaciones derivativas paliativas -esofagogastro o esofago yeyuno anastomosis s   - SMG
80108,Esofagotomia exploradora por via toracica o abdominal -con extraccion de cuerpo    - SMG
80109,Escision de diverticulo esofagico intratoracico.   - SMG
80110,"Esofagotomia o esofagorrafia de esofago cervical -exploradora, extraccion de cue   - SMG"
80111,Escision de diverticulo de esofago cervical.   - SMG
80112,Intubacion de esofago -por gastrotomia-op.de goñi moreno-.   - SMG
80201,"Dermolipectomia abdominal con o sin reconstruccion del ombligo, con o sin hernio   - SMG"
80202,Hernioplastia diafragmatica o isquirrectal.   - SMG
80203,"Hernioplastia inguinal, crural, epigastrica, umbilical, obturatriz, etc.   - SMG"
80205,Hernioplastia bilateral.   - SMG
80206,Eventracion; hernia recidivada.   - SMG
80207,Cierre de pared abdominal por evisceracion.   - SMG
80208,Laparatomia exploradora-evacuadora-extraccion cuerpo extraño con o sin toma de b - SMG
80209,Enterolisis -debridamiento intestinal- como unica operacion.   - SMG
80210,Laparascopia con luz fria -incluye biopsia-.  -  SMG
80211,Laparascopia convencional -incluye biopsias dirigidas-.  - SMG
80213,Escision de tumor retroperitoneal -excluidos de riñon y suprarrenal-.   - SMG
80214,Drenaje de absceso subfrenico -como unica operacion-.  - SMG
80301,Gastrectomia total.   - SMG
80302,Gastrectomia subtotal o regastrectomia -con o sin vagotomia-.   - SMG
80303,Gastrotomia -exploracion-extraccion de cuerpo extraño-. escision local de ulcera  - SMG
80304,Gastrostomia -como unica operacion-.   - SMG
80305,"Gastrorrafia -ulcera gastrica perforada, herida, traumatismo-.   - SMG"
80306,Gastroduodenostomia-gastroyeyunostomia -como unica operacion-.  - SMG
80307,Vagotomia con piloroplastia o con gastroenteroanastomosis.  - SMG
80308,Piloromiotomia-piloroplastia.  - SMG
80309,Cierre o eliminacion de gastroenteroanastomosis.   - SMG
80310,Cierre de fistula gastrocolica o gastroyeyunocolica.  - SMG
80311,Cierre de gastrostomia u otra fistula externa de estomago.   - SMG
80401,Enterectomia de yeyuno o ileon.   - SMG
80402,Escision diverticulo de meckel.   - SMG
80403,Enterotomia. esterostomia temporaria o definitiva. enterorrafia. cierre de enter  - SMG
80404,Derivaciones intestinales internas como unica operacion -entero- entericas en ge  - SMG
80405,Operacion plastica en ileostomia -como unica operacion-.   - SMG
80406,Plicatura de intestino delgado (op. de noble-op. de child-.   - SMG
80501,Colectomia total -sin recto- con restitucion del transito en un tiempo.  - SMG
80502,Colectomia total -sin recto- con ileostomia temporaria o definitiva.  - SMG
